Title,Price
New ListingHP Pavilion Gaming 15 ec2345ng,"NT$ 10,247"
"Dell Latitude 14"" Gaming Laptop PC Intel Core i7 4.2GHz 64GB RAM 2TB SSD Win 11","NT$ 13,171 to NT$ 22,375"
"Dell 12"" UltraSlim Laptop Intel 2.4GHz 16GB 256GB SSD Wi-Fi Bluetooth Win10 Pro","NT$ 5,366"
Dell Latitude Light Gaming Laptop PC Intel Core i7 4.2GHz 32GB RAM 2TB SSD Win11,"NT$ 13,171 to NT$ 20,098"
"New ListingDell Latitude 7440 I7-1365U 14"" UXGA 1920x1200 512gb 16gb Warranty 2026.","NT$ 3,505"
FAST Dell TOUCHSCREEN 8th Gen Intel Quad Core 16GB RAM Pick SSD Wi-Fi BT Win11,"NT$ 4,846 to NT$ 6,472"
"HP 15.6"" FHD Notebook AMD Ryzen 5 5500U 16GB RAM 512GB SSD Natural Silver","NT$ 11,382"
"HP Elitebook 830 G5 Laptop, 13.3"" Touch, i5 8th Gen, 8GB RAM, 256GB SSD, Win 11","NT$ 8,087"
"Dell 5190 2 in 1 TouchScreen Chromebook 11.6"" 4GB Ram 32GB SSD *See description*","NT$ 1,041"
HP Pro X2 612 G2 Tablet PENTIUM GOLD 4GB RAM 128GB SSD Windows 11 Pro Grade A+,"NT$ 3,639"
